step,epoch,tokens_seen,train_loss,val_loss,lr,tokens_per_sec,time
20,0.000,655360,8.2670,,7.35e-06,66858,2026-09-11 18:05:35
40,0.001,1310720,8.2631,,1.43e-05,87817,2026-09-11 18:05:40
60,0.001,1966080,8.2555,,2.14e-05,127597,2026-09-11 18:05:45
80,0.001,2621440,8.2459,,2.84e-05,127739,2026-09-11 18:05:51
100,0.002,3276800,8.2346,,3.53e-05,127748,2026-09-11 18:05:56
120,0.002,3932160,8.2216,,4.23e-05,127627,2026-09-11 18:06:01
140,0.002,4587520,8.2072,,4.93e-05,127126,2026-09-11 18:06:06
160,0.003,5242880,8.1919,,5.64e-05,126927,2026-09-11 18:06:11
180,0.003,5898240,8.1757,,6.33e-05,126510,2026-09-11 18:06:16
200,0.003,6553600,8.1585,,7.04e-05,126475,2026-09-11 18:06:22
220,0.004,7208960,8.1403,,7.73e-05,126368,2026-09-11 18:06:27
240,0.004,7864320,8.1218,,8.43e-05,126355,2026-09-11 18:06:32
260,0.004,8519680,8.1025,,9.13e-05,126213,2026-09-11 18:06:37
280,0.005,9175040,8.0831,,9.84e-05,126095,2026-09-11 18:06:43
300,0.005,9830400,8.0617,,1.05e-04,126209,2026-09-11 18:06:48
320,0.005,10485760,8.0399,,1.12e-04,126095,2026-09-11 18:06:53
340,0.006,11141120,8.0180,,1.19e-04,125573,2026-09-11 18:06:58
360,0.006,11796480,7.9961,,1.26e-04,125789,2026-09-11 18:07:03
380,0.006,12451840,7.9734,,1.33e-04,125688,2026-09-11 18:07:09
400,0.007,13107200,7.9499,,1.40e-04,125836,2026-09-11 18:07:14
420,0.007,13762560,7.9266,,1.47e-04,125927,2026-09-11 18:07:19
440,0.007,14417920,7.9026,,1.54e-04,125953,2026-09-11 18:07:24
460,0.008,15073280,7.8785,,1.61e-04,126214,2026-09-11 18:07:30
480,0.008,15728640,7.8539,,1.68e-04,126190,2026-09-11 18:07:35
500,0.008,16384000,7.8288,,1.75e-04,126153,2026-09-11 18:07:40
520,0.009,17039360,7.8042,,1.82e-04,126147,2026-09-11 18:07:45
540,0.009,17694720,7.7784,,1.89e-04,126045,2026-09-11 18:07:50
560,0.009,18350080,7.7534,,1.96e-04,126046,2026-09-11 18:07:56
580,0.010,19005440,7.7273,,2.03e-04,126057,2026-09-11 18:08:01
600,0.010,19660800,7.7012,,2.10e-04,125985,2026-09-11 18:08:06
620,0.010,20316160,7.6746,,2.17e-04,126086,2026-09-11 18:08:11
640,0.011,20971520,7.6484,,2.24e-04,126052,2026-09-11 18:08:16
660,0.011,21626880,7.6213,,2.31e-04,126113,2026-09-11 18:08:22
680,0.011,22282240,7.5944,,2.38e-04,126050,2026-09-11 18:08:27
700,0.012,22937600,7.5681,,2.45e-04,125837,2026-09-11 18:08:32
720,0.012,23592960,7.5409,,2.52e-04,125777,2026-09-11 18:08:37
740,0.012,24248320,7.5143,,2.59e-04,125846,2026-09-11 18:08:43
760,0.013,24903680,7.4868,,2.66e-04,125862,2026-09-11 18:08:48
780,0.013,25559040,7.4589,,2.73e-04,125863,2026-09-11 18:08:53
800,0.013,26214400,7.4307,,2.80e-04,125883,2026-09-11 18:08:58
820,0.014,26869760,7.4030,,2.87e-04,126067,2026-09-11 18:09:03
840,0.014,27525120,7.3750,,2.94e-04,125971,2026-09-11 18:09:09
860,0.014,28180480,7.3465,,3.01e-04,126157,2026-09-11 18:09:14
880,0.015,28835840,7.3184,,3.08e-04,126067,2026-09-11 18:09:19
900,0.015,29491200,7.2907,,3.15e-04,126145,2026-09-11 18:09:24
920,0.015,30146560,7.2627,,3.22e-04,126012,2026-09-11 18:09:30
940,0.016,30801920,7.2356,,3.29e-04,125966,2026-09-11 18:09:35
960,0.016,31457280,7.2077,,3.36e-04,125896,2026-09-11 18:09:40
980,0.016,32112640,7.1806,,3.43e-04,125876,2026-09-11 18:09:45
1000,0.017,32768000,7.1529,,3.50e-04,125984,2026-09-11 18:09:50
1020,0.017,33423360,7.1255,,3.57e-04,126119,2026-09-11 18:09:56
1040,0.017,34078720,7.0975,,3.64e-04,126139,2026-09-11 18:10:01
1060,0.018,34734080,7.0703,,3.71e-04,126006,2026-09-11 18:10:06
1080,0.018,35389440,7.0427,,3.78e-04,126017,2026-09-11 18:10:11
1100,0.018,36044800,7.0168,,3.85e-04,126097,2026-09-11 18:10:16
1120,0.019,36700160,6.9906,,3.92e-04,126131,2026-09-11 18:10:22
1140,0.019,37355520,6.9642,,3.99e-04,126238,2026-09-11 18:10:27
1160,0.019,38010880,6.9386,,4.06e-04,126202,2026-09-11 18:10:32
1180,0.020,38666240,6.9125,,4.13e-04,125902,2026-09-11 18:10:37
1200,0.020,39321600,6.8857,,4.20e-04,125993,2026-09-11 18:10:43
1220,0.020,39976960,6.8601,,4.27e-04,126116,2026-09-11 18:10:48
1240,0.021,40632320,6.8352,,4.34e-04,126130,2026-09-11 18:10:53
1260,0.021,41287680,6.8094,,4.41e-04,126198,2026-09-11 18:10:58
1280,0.021,41943040,6.7840,,4.48e-04,126173,2026-09-11 18:11:03
1300,0.022,42598400,6.7588,,4.55e-04,126136,2026-09-11 18:11:09
1320,0.022,43253760,6.7334,,4.62e-04,126103,2026-09-11 18:11:14
1340,0.022,43909120,6.7080,,4.69e-04,125954,2026-09-11 18:11:19
1360,0.023,44564480,6.6829,,4.76e-04,125989,2026-09-11 18:11:24
1380,0.023,45219840,6.6582,,4.83e-04,126131,2026-09-11 18:11:29
1400,0.023,45875200,6.6333,,4.90e-04,126130,2026-09-11 18:11:35
1420,0.024,46530560,6.6093,,4.97e-04,125992,2026-09-11 18:11:40
1440,0.024,47185920,6.5842,,5.04e-04,125881,2026-09-11 18:11:45
1460,0.024,47841280,6.5596,,5.11e-04,126061,2026-09-11 18:11:50
1480,0.025,48496640,6.5359,,5.18e-04,126087,2026-09-11 18:11:56
1500,0.025,49152000,6.5124,,5.25e-04,126009,2026-09-11 18:12:01
1520,0.025,49807360,6.4890,,5.32e-04,125883,2026-09-11 18:12:06
1540,0.026,50462720,6.4655,,5.39e-04,125890,2026-09-11 18:12:11
1560,0.026,51118080,6.4421,,5.46e-04,125929,2026-09-11 18:12:16
1580,0.026,51773440,6.4191,,5.53e-04,126059,2026-09-11 18:12:22
1600,0.027,52428800,6.3969,,5.60e-04,125854,2026-09-11 18:12:27
1620,0.027,53084160,6.3733,,5.67e-04,126084,2026-09-11 18:12:32
1640,0.027,53739520,6.3507,,5.74e-04,126124,2026-09-11 18:12:37
1660,0.028,54394880,6.3284,,5.81e-04,126226,2026-09-11 18:12:42
1680,0.028,55050240,6.3062,,5.88e-04,126182,2026-09-11 18:12:48
1700,0.028,55705600,6.2851,,5.95e-04,126026,2026-09-11 18:12:53
1720,0.029,56360960,6.2630,,6.02e-04,125986,2026-09-11 18:12:58
1740,0.029,57016320,6.2418,,6.09e-04,126180,2026-09-11 18:13:03
1760,0.029,57671680,6.2207,,6.16e-04,126181,2026-09-11 18:13:09
1780,0.030,58327040,6.1997,,6.23e-04,126097,2026-09-11 18:13:14
1800,0.030,58982400,6.1793,,6.30e-04,126031,2026-09-11 18:13:19
1820,0.030,59637760,6.1585,,6.37e-04,125976,2026-09-11 18:13:24
1840,0.031,60293120,6.1378,,6.44e-04,125918,2026-09-11 18:13:29
1860,0.031,60948480,6.1172,,6.51e-04,126077,2026-09-11 18:13:35
1880,0.031,61603840,6.0964,,6.58e-04,126034,2026-09-11 18:13:40
1900,0.032,62259200,6.0764,,6.65e-04,126101,2026-09-11 18:13:45
1920,0.032,62914560,6.0561,,6.72e-04,126095,2026-09-11 18:13:50
1940,0.032,63569920,6.0361,,6.79e-04,126003,2026-09-11 18:13:56
1960,0.033,64225280,6.0159,,6.86e-04,126011,2026-09-11 18:14:01
1980,0.033,64880640,5.9962,,6.93e-04,126026,2026-09-11 18:14:06
2000,0.033,65536000,5.9767,,7.00e-04,125934,2026-09-11 18:14:11
2020,0.034,66191360,5.9579,,7.00e-04,126102,2026-09-11 18:14:16
2040,0.034,66846720,5.9378,,7.00e-04,126087,2026-09-11 18:14:22
2060,0.034,67502080,5.9192,,7.00e-04,126049,2026-09-11 18:14:27
2080,0.035,68157440,5.9009,,7.00e-04,126016,2026-09-11 18:14:32
2100,0.035,68812800,5.8823,,7.00e-04,125919,2026-09-11 18:14:37
2120,0.035,69468160,5.8635,,7.00e-04,125953,2026-09-11 18:14:42
2140,0.036,70123520,5.8449,,7.00e-04,126026,2026-09-11 18:14:48
2160,0.036,70778880,5.8264,,7.00e-04,126076,2026-09-11 18:14:53
2180,0.036,71434240,5.8087,,7.00e-04,126107,2026-09-11 18:14:58
2200,0.037,72089600,5.7902,,7.00e-04,126052,2026-09-11 18:15:03
2220,0.037,72744960,5.7717,,7.00e-04,125856,2026-09-11 18:15:09
2240,0.037,73400320,5.7530,,7.00e-04,125819,2026-09-11 18:15:14
2260,0.038,74055680,5.7355,,7.00e-04,126021,2026-09-11 18:15:19
2280,0.038,74711040,5.7186,,7.00e-04,126007,2026-09-11 18:15:24
2300,0.038,75366400,5.7010,,7.00e-04,126107,2026-09-11 18:15:29
2320,0.039,76021760,5.6838,,7.00e-04,126089,2026-09-11 18:15:35
2340,0.039,76677120,5.6662,,7.00e-04,126010,2026-09-11 18:15:40
2360,0.039,77332480,5.6487,,7.00e-04,126003,2026-09-11 18:15:45
2380,0.040,77987840,5.6314,,7.00e-04,126031,2026-09-11 18:15:50
2400,0.040,78643200,5.6143,,7.00e-04,126065,2026-09-11 18:15:55
2420,0.040,79298560,5.5973,,7.00e-04,126104,2026-09-11 18:16:01
2440,0.041,79953920,5.5809,,7.00e-04,126129,2026-09-11 18:16:06
2460,0.041,80609280,5.5647,,7.00e-04,126013,2026-09-11 18:16:11
2480,0.041,81264640,5.5487,,7.00e-04,125953,2026-09-11 18:16:16
2500,0.042,81920000,5.5328,,7.00e-04,126078,2026-09-11 18:16:22
2520,0.042,82575360,5.5169,,7.00e-04,126092,2026-09-11 18:16:27
2540,0.042,83230720,5.5000,,7.00e-04,126110,2026-09-11 18:16:32
2560,0.043,83886080,5.4842,,7.00e-04,126099,2026-09-11 18:16:37
2580,0.043,84541440,5.4688,,7.00e-04,125977,2026-09-11 18:16:42
2600,0.043,85196800,5.4533,,7.00e-04,125956,2026-09-11 18:16:48
2620,0.044,85852160,5.4376,,7.00e-04,126059,2026-09-11 18:16:53
2640,0.044,86507520,5.4234,,7.00e-04,126030,2026-09-11 18:16:58
2660,0.044,87162880,5.4079,,7.00e-04,126100,2026-09-11 18:17:03
2680,0.045,87818240,5.3930,,7.00e-04,126038,2026-09-11 18:17:08
2700,0.045,88473600,5.3785,,7.00e-04,125926,2026-09-11 18:17:14
2720,0.045,89128960,5.3642,,7.00e-04,125961,2026-09-11 18:17:19
2740,0.046,89784320,5.3495,,7.00e-04,125996,2026-09-11 18:17:24
2760,0.046,90439680,5.3347,,7.00e-04,126065,2026-09-11 18:17:29
2780,0.046,91095040,5.3205,,7.00e-04,126088,2026-09-11 18:17:35
2800,0.047,91750400,5.3060,,7.00e-04,126103,2026-09-11 18:17:40
2820,0.047,92405760,5.2918,,7.00e-04,126060,2026-09-11 18:17:45
2840,0.047,93061120,5.2778,,7.00e-04,126053,2026-09-11 18:17:50
2860,0.048,93716480,5.2633,,7.00e-04,125976,2026-09-11 18:17:55
2880,0.048,94371840,5.2495,,7.00e-04,125987,2026-09-11 18:18:01
2900,0.048,95027200,5.2346,,7.00e-04,126098,2026-09-11 18:18:06
2920,0.049,95682560,5.2206,,7.00e-04,126145,2026-09-11 18:18:11
2940,0.049,96337920,5.2061,,7.00e-04,126142,2026-09-11 18:18:16
2960,0.049,96993280,5.1926,,7.00e-04,126118,2026-09-11 18:18:22
2980,0.050,97648640,5.1793,,7.00e-04,126090,2026-09-11 18:18:27
3000,0.050,98304000,5.1664,,7.00e-04,126177,2026-09-11 18:18:32
3020,0.050,98959360,5.1526,,6.99e-04,126275,2026-09-11 18:18:37
3040,0.051,99614720,5.1389,,6.99e-04,126223,2026-09-11 18:18:42
3060,0.051,100270080,5.1256,,6.99e-04,126190,2026-09-11 18:18:48
3080,0.051,100925440,5.1124,,6.99e-04,126133,2026-09-11 18:18:53
3100,0.052,101580800,5.0991,,6.99e-04,125994,2026-09-11 18:18:58
3120,0.052,102236160,5.0866,,6.99e-04,126111,2026-09-11 18:19:03
3140,0.052,102891520,5.0741,,6.99e-04,126210,2026-09-11 18:19:08
3160,0.053,103546880,5.0617,,6.99e-04,126179,2026-09-11 18:19:14
3180,0.053,104202240,5.0486,,6.99e-04,126116,2026-09-11 18:19:19
3200,0.053,104857600,5.0360,,6.99e-04,126090,2026-09-11 18:19:24
3220,0.054,105512960,5.0237,,6.99e-04,126137,2026-09-11 18:19:29
3240,0.054,106168320,5.0121,,6.99e-04,126168,2026-09-11 18:19:34
3260,0.054,106823680,4.9998,,6.99e-04,126220,2026-09-11 18:19:40
3280,0.055,107479040,4.9886,,6.99e-04,126187,2026-09-11 18:19:45
3300,0.055,108134400,4.9761,,6.99e-04,126065,2026-09-11 18:19:50
3320,0.055,108789760,4.9650,,6.99e-04,126015,2026-09-11 18:19:55
3340,0.056,109445120,4.9531,,6.99e-04,126244,2026-09-11 18:20:01
3360,0.056,110100480,4.9405,,6.99e-04,126223,2026-09-11 18:20:06
3380,0.056,110755840,4.9293,,6.99e-04,126236,2026-09-11 18:20:11
3400,0.057,111411200,4.9175,,6.99e-04,126225,2026-09-11 18:20:16
3420,0.057,112066560,4.9067,,6.99e-04,126226,2026-09-11 18:20:21
3440,0.057,112721920,4.8961,,6.99e-04,126188,2026-09-11 18:20:27
3460,0.058,113377280,4.8847,,6.99e-04,126251,2026-09-11 18:20:32
3480,0.058,114032640,4.8741,,6.99e-04,126228,2026-09-11 18:20:37
3500,0.058,114688000,4.8634,,6.99e-04,126070,2026-09-11 18:20:42
3520,0.059,115343360,4.8525,,6.99e-04,126101,2026-09-11 18:20:47
3540,0.059,115998720,4.8419,,6.99e-04,126036,2026-09-11 18:20:53
3560,0.059,116654080,4.8312,,6.99e-04,126148,2026-09-11 18:20:58
3580,0.060,117309440,4.8205,,6.99e-04,126226,2026-09-11 18:21:03
3600,0.060,117964800,4.8095,,6.99e-04,126223,2026-09-11 18:21:08
3620,0.060,118620160,4.7994,,6.99e-04,126198,2026-09-11 18:21:13
3640,0.061,119275520,4.7893,,6.99e-04,126200,2026-09-11 18:21:19
3660,0.061,119930880,4.7797,,6.99e-04,126161,2026-09-11 18:21:24
3680,0.061,120586240,4.7697,,6.99e-04,126152,2026-09-11 18:21:29
3700,0.062,121241600,4.7597,,6.99e-04,126112,2026-09-11 18:21:34
3720,0.062,121896960,4.7501,,6.99e-04,126140,2026-09-11 18:21:39
3740,0.062,122552320,4.7403,,6.99e-04,126260,2026-09-11 18:21:45
3760,0.063,123207680,4.7307,,6.99e-04,126172,2026-09-11 18:21:50
3780,0.063,123863040,4.7211,,6.98e-04,126147,2026-09-11 18:21:55
3800,0.063,124518400,4.7110,,6.98e-04,126116,2026-09-11 18:22:00
3820,0.064,125173760,4.7008,,6.98e-04,126128,2026-09-11 18:22:06
3840,0.064,125829120,4.6917,,6.98e-04,126187,2026-09-11 18:22:11
3860,0.064,126484480,4.6829,,6.98e-04,126187,2026-09-11 18:22:16
3880,0.065,127139840,4.6732,,6.98e-04,126183,2026-09-11 18:22:21
3900,0.065,127795200,4.6642,,6.98e-04,126040,2026-09-11 18:22:26
3920,0.065,128450560,4.6557,,6.98e-04,126024,2026-09-11 18:22:32
3940,0.066,129105920,4.6466,,6.98e-04,125936,2026-09-11 18:22:37
3960,0.066,129761280,4.6376,,6.98e-04,125998,2026-09-11 18:22:42
3980,0.066,130416640,4.6274,,6.98e-04,126272,2026-09-11 18:22:47
4000,0.067,131072000,4.6182,,6.98e-04,126194,2026-09-11 18:22:52
4020,0.067,131727360,4.6101,,6.98e-04,126182,2026-09-11 18:22:58
4040,0.067,132382720,4.6013,,6.98e-04,126069,2026-09-11 18:23:03
4060,0.068,133038080,4.5924,,6.98e-04,125960,2026-09-11 18:23:08
4080,0.068,133693440,4.5836,,6.98e-04,126163,2026-09-11 18:23:13
4100,0.068,134348800,4.5754,,6.98e-04,126224,2026-09-11 18:23:19
4120,0.069,135004160,4.5662,,6.98e-04,126206,2026-09-11 18:23:24
4140,0.069,135659520,4.5580,,6.98e-04,126147,2026-09-11 18:23:29
4160,0.069,136314880,4.5500,,6.98e-04,126117,2026-09-11 18:23:34
4180,0.070,136970240,4.5412,,6.98e-04,126136,2026-09-11 18:23:39
4200,0.070,137625600,4.5331,,6.98e-04,126139,2026-09-11 18:23:45
4220,0.070,138280960,4.5254,,6.98e-04,126227,2026-09-11 18:23:50
4240,0.071,138936320,4.5173,,6.98e-04,126240,2026-09-11 18:23:55
4260,0.071,139591680,4.5083,,6.98e-04,126105,2026-09-11 18:24:00
4280,0.071,140247040,4.5002,,6.97e-04,126096,2026-09-11 18:24:05
4300,0.072,140902400,4.4928,,6.97e-04,126208,2026-09-11 18:24:11
4320,0.072,141557760,4.4850,,6.97e-04,126220,2026-09-11 18:24:16
4340,0.072,142213120,4.4774,,6.97e-04,126247,2026-09-11 18:24:21
4360,0.073,142868480,4.4693,,6.97e-04,126228,2026-09-11 18:24:26
4380,0.073,143523840,4.4614,,6.97e-04,126136,2026-09-11 18:24:31
4400,0.073,144179200,4.4539,,6.97e-04,126116,2026-09-11 18:24:37
4420,0.074,144834560,4.4460,,6.97e-04,126114,2026-09-11 18:24:42
4440,0.074,145489920,4.4387,,6.97e-04,126176,2026-09-11 18:24:47
4460,0.074,146145280,4.4310,,6.97e-04,126263,2026-09-11 18:24:52
4480,0.075,146800640,4.4242,,6.97e-04,126213,2026-09-11 18:24:57
4500,0.075,147456000,4.4168,,6.97e-04,126116,2026-09-11 18:25:03
4520,0.075,148111360,4.4094,,6.97e-04,126064,2026-09-11 18:25:08
4540,0.076,148766720,4.4010,,6.97e-04,126106,2026-09-11 18:25:13
4560,0.076,149422080,4.3945,,6.97e-04,126158,2026-09-11 18:25:18
4580,0.076,150077440,4.3874,,6.97e-04,126132,2026-09-11 18:25:24
4600,0.077,150732800,4.3805,,6.97e-04,126112,2026-09-11 18:25:29
4620,0.077,151388160,4.3736,,6.97e-04,126163,2026-09-11 18:25:34
4640,0.077,152043520,4.3669,,6.97e-04,126092,2026-09-11 18:25:39
4660,0.078,152698880,4.3609,,6.97e-04,126142,2026-09-11 18:25:44
4680,0.078,153354240,4.3539,,6.97e-04,126136,2026-09-11 18:25:50
4700,0.078,154009600,4.3470,,6.96e-04,126154,2026-09-11 18:25:55
4720,0.079,154664960,4.3402,,6.96e-04,126099,2026-09-11 18:26:00
4740,0.079,155320320,4.3332,,6.96e-04,126158,2026-09-11 18:26:05
4760,0.079,155975680,4.3262,,6.96e-04,126139,2026-09-11 18:26:10
4780,0.080,156631040,4.3196,,6.96e-04,126051,2026-09-11 18:26:16
4800,0.080,157286400,4.3131,,6.96e-04,126046,2026-09-11 18:26:21
4820,0.080,157941760,4.3065,,6.96e-04,126242,2026-09-11 18:26:26
4840,0.081,158597120,4.2996,,6.96e-04,126217,2026-09-11 18:26:31
4860,0.081,159252480,4.2928,,6.96e-04,126230,2026-09-11 18:26:37
4880,0.081,159907840,4.2865,,6.96e-04,126161,2026-09-11 18:26:42
4900,0.082,160563200,4.2806,,6.96e-04,126085,2026-09-11 18:26:47
4920,0.082,161218560,4.2743,,6.96e-04,126031,2026-09-11 18:26:52
4940,0.082,161873920,4.2676,,6.96e-04,126054,2026-09-11 18:26:57
4960,0.083,162529280,4.2613,,6.96e-04,126146,2026-09-11 18:27:03
4980,0.083,163184640,4.2549,,6.96e-04,126223,2026-09-11 18:27:08
5000,0.083,163840000,4.2483,,6.96e-04,126209,2026-09-11 18:27:13
5000,0.083,163840000,4.2483,3.6336,6.96e-04,,2026-09-11 18:27:34
5020,0.084,164495360,4.2423,,6.96e-04,126818,2026-09-11 18:27:39
5040,0.084,165150720,4.2364,,6.96e-04,126618,2026-09-11 18:27:44
5060,0.084,165806080,4.2302,,6.95e-04,126375,2026-09-11 18:27:50
5080,0.085,166461440,4.2242,,6.95e-04,126351,2026-09-11 18:27:55
5100,0.085,167116800,4.2185,,6.95e-04,126502,2026-09-11 18:28:00
5120,0.085,167772160,4.2133,,6.95e-04,126480,2026-09-11 18:28:05
5140,0.086,168427520,4.2080,,6.95e-04,126375,2026-09-11 18:28:10
5160,0.086,169082880,4.2028,,6.95e-04,126379,2026-09-11 18:28:16
5180,0.086,169738240,4.1980,,6.95e-04,126195,2026-09-11 18:28:21
5200,0.087,170393600,4.1922,,6.95e-04,126278,2026-09-11 18:28:26
5220,0.087,171048960,4.1864,,6.95e-04,126337,2026-09-11 18:28:31
5240,0.088,171704320,4.1810,,6.95e-04,126349,2026-09-11 18:28:36
5260,0.088,172359680,4.1765,,6.95e-04,126216,2026-09-11 18:28:42
5280,0.088,173015040,4.1711,,6.95e-04,126048,2026-09-11 18:28:47
5300,0.089,173670400,4.1658,,6.95e-04,126218,2026-09-11 18:28:52
5320,0.089,174325760,4.1607,,6.95e-04,126219,2026-09-11 18:28:57
5340,0.089,174981120,4.1559,,6.95e-04,126184,2026-09-11 18:29:02
5360,0.090,175636480,4.1508,,6.95e-04,126234,2026-09-11 18:29:08
5380,0.090,176291840,4.1460,,6.94e-04,126344,2026-09-11 18:29:13
5400,0.090,176947200,4.1406,,6.94e-04,126321,2026-09-11 18:29:18
5420,0.091,177602560,4.1361,,6.94e-04,126124,2026-09-11 18:29:23
5440,0.091,178257920,4.1310,,6.94e-04,126255,2026-09-11 18:29:28
5460,0.091,178913280,4.1258,,6.94e-04,126406,2026-09-11 18:29:34
5480,0.092,179568640,4.1210,,6.94e-04,126381,2026-09-11 18:29:39
5500,0.092,180224000,4.1171,,6.94e-04,126348,2026-09-11 18:29:44
5520,0.092,180879360,4.1125,,6.94e-04,126293,2026-09-11 18:29:49
5540,0.093,181534720,4.1089,,6.94e-04,126288,2026-09-11 18:29:54
5560,0.093,182190080,4.1038,,6.94e-04,126250,2026-09-11 18:30:00
5580,0.093,182845440,4.0986,,6.94e-04,126201,2026-09-11 18:30:05
5600,0.094,183500800,4.0947,,6.94e-04,126199,2026-09-11 18:30:10
5620,0.094,184156160,4.0900,,6.94e-04,126106,2026-09-11 18:30:15
5640,0.094,184811520,4.0856,,6.94e-04,126168,2026-09-11 18:30:21
5660,0.095,185466880,4.0810,,6.94e-04,126191,2026-09-11 18:30:26
5680,0.095,186122240,4.0763,,6.93e-04,126207,2026-09-11 18:30:31
5700,0.095,186777600,4.0717,,6.93e-04,126226,2026-09-11 18:30:36
5720,0.096,187432960,4.0668,,6.93e-04,126184,2026-09-11 18:30:41
5740,0.096,188088320,4.0622,,6.93e-04,126049,2026-09-11 18:30:47
5760,0.096,188743680,4.0578,,6.93e-04,126031,2026-09-11 18:30:52
5780,0.097,189399040,4.0532,,6.93e-04,126082,2026-09-11 18:30:57
5800,0.097,190054400,4.0487,,6.93e-04,126133,2026-09-11 18:31:02
5820,0.097,190709760,4.0439,,6.93e-04,126136,2026-09-11 18:31:07
5840,0.098,191365120,4.0403,,6.93e-04,126113,2026-09-11 18:31:13
5860,0.098,192020480,4.0356,,6.93e-04,126134,2026-09-11 18:31:18
5880,0.098,192675840,4.0308,,6.93e-04,126151,2026-09-11 18:31:23
5900,0.099,193331200,4.0269,,6.93e-04,126115,2026-09-11 18:31:28
5920,0.099,193986560,4.0231,,6.93e-04,126106,2026-09-11 18:31:33
5940,0.099,194641920,4.0187,,6.93e-04,126159,2026-09-11 18:31:39
5960,0.100,195297280,4.0153,,6.92e-04,126159,2026-09-11 18:31:44
5980,0.100,195952640,4.0115,,6.92e-04,125860,2026-09-11 18:31:49
6000,0.100,196608000,4.0066,,6.92e-04,125996,2026-09-11 18:31:54
6020,0.101,197263360,4.0031,,6.92e-04,126123,2026-09-11 18:32:00
6040,0.101,197918720,3.9990,,6.92e-04,126013,2026-09-11 18:32:05
6060,0.101,198574080,3.9953,,6.92e-04,125896,2026-09-11 18:32:10
6080,0.102,199229440,3.9909,,6.92e-04,125987,2026-09-11 18:32:15
6100,0.102,199884800,3.9876,,6.92e-04,126187,2026-09-11 18:32:20
6120,0.102,200540160,3.9844,,6.92e-04,126060,2026-09-11 18:32:26
6140,0.103,201195520,3.9810,,6.92e-04,126071,2026-09-11 18:32:31
6160,0.103,201850880,3.9775,,6.92e-04,126086,2026-09-11 18:32:36
6180,0.103,202506240,3.9741,,6.92e-04,125966,2026-09-11 18:32:41
6200,0.104,203161600,3.9703,,6.92e-04,125994,2026-09-11 18:32:46
6220,0.104,203816960,3.9667,,6.91e-04,126166,2026-09-11 18:32:52
6240,0.104,204472320,3.9634,,6.91e-04,126072,2026-09-11 18:32:57
6260,0.105,205127680,3.9594,,6.91e-04,126146,2026-09-11 18:33:02
6280,0.105,205783040,3.9554,,6.91e-04,126129,2026-09-11 18:33:07
6300,0.105,206438400,3.9521,,6.91e-04,126036,2026-09-11 18:33:13
6320,0.106,207093760,3.9477,,6.91e-04,125934,2026-09-11 18:33:18
6340,0.106,207749120,3.9440,,6.91e-04,126073,2026-09-11 18:33:23
6360,0.106,208404480,3.9402,,6.91e-04,126099,2026-09-11 18:33:28
6380,0.107,209059840,3.9364,,6.91e-04,126142,2026-09-11 18:33:33
6400,0.107,209715200,3.9321,,6.91e-04,126109,2026-09-11 18:33:39
6420,0.107,210370560,3.9288,,6.91e-04,125899,2026-09-11 18:33:44
6440,0.108,211025920,3.9247,,6.91e-04,125948,2026-09-11 18:33:49
6460,0.108,211681280,3.9218,,6.90e-04,126051,2026-09-11 18:33:54
6480,0.108,212336640,3.9183,,6.90e-04,126087,2026-09-11 18:33:59
6500,0.109,212992000,3.9145,,6.90e-04,126090,2026-09-11 18:34:05
6520,0.109,213647360,3.9107,,6.90e-04,126066,2026-09-11 18:34:10
6540,0.109,214302720,3.9082,,6.90e-04,126015,2026-09-11 18:34:15
6560,0.110,214958080,3.9054,,6.90e-04,125939,2026-09-11 18:34:20
6580,0.110,215613440,3.9021,,6.90e-04,125895,2026-09-11 18:34:26
6600,0.110,216268800,3.8993,,6.90e-04,125968,2026-09-11 18:34:31
6620,0.111,216924160,3.8960,,6.90e-04,126090,2026-09-11 18:34:36
6640,0.111,217579520,3.8926,,6.90e-04,126098,2026-09-11 18:34:41
6660,0.111,218234880,3.8895,,6.90e-04,126112,2026-09-11 18:34:46
6680,0.112,218890240,3.8869,,6.89e-04,125996,2026-09-11 18:34:52
6700,0.112,219545600,3.8831,,6.89e-04,125680,2026-09-11 18:34:57
6720,0.112,220200960,3.8799,,6.89e-04,125881,2026-09-11 18:35:02
6740,0.113,220856320,3.8767,,6.89e-04,126133,2026-09-11 18:35:07
6760,0.113,221511680,3.8735,,6.89e-04,126139,2026-09-11 18:35:13
6780,0.113,222167040,3.8705,,6.89e-04,126062,2026-09-11 18:35:18
6800,0.114,222822400,3.8673,,6.89e-04,126011,2026-09-11 18:35:23
6820,0.114,223477760,3.8644,,6.89e-04,125975,2026-09-11 18:35:28
6840,0.114,224133120,3.8618,,6.89e-04,126096,2026-09-11 18:35:33
6860,0.115,224788480,3.8595,,6.89e-04,126204,2026-09-11 18:35:39
6880,0.115,225443840,3.8565,,6.89e-04,126196,2026-09-11 18:35:44
6900,0.115,226099200,3.8537,,6.88e-04,126018,2026-09-11 18:35:49
6920,0.116,226754560,3.8509,,6.88e-04,126020,2026-09-11 18:35:54
6940,0.116,227409920,3.8483,,6.88e-04,126054,2026-09-11 18:35:59
6960,0.116,228065280,3.8456,,6.88e-04,126086,2026-09-11 18:36:05
6980,0.117,228720640,3.8425,,6.88e-04,126174,2026-09-11 18:36:10
